File,Data_Type,Korrekt,Gleiche Berufsgruppe,Gleiche semantische Berufsgruppe,Falsch
decorte_esco_predictions_linear.pkl,real,0.1537180910099889,0.27968923418423974,0.3507214206437292,0.21587125416204217
decorte_predictions_linear.pkl,real,0.1670366259711432,0.27802441731409544,0.3940066592674806,0.1609322974472808
karrierewege_cp_predictions_linear.pkl,synthetic,0.3543154220897259,0.23943866792699775,0.14714607721951575,0.25904893477786667
karrierewege_occ_predictions_linear.pkl,synthetic,0.3542208972587799,0.23327274049298335,0.14606267723405802,0.26640732930996874
karrierewege_predictions_linear.pkl,real,0.4212932286949174,0.2014750490872507,0.12895661477298287,0.24822647611289764
