File,Overall_KL_divergence,Overall_Chi2_statistic,Overall_Chi2_p_value,Women_KL_divergence,Women_Chi2_statistic,Women_Chi2_p_value,Migrant_KL_divergence,Migrant_Chi2_statistic,Migrant_Chi2_p_value,Data_Type
decorte_predictions_linear.pkl,0.18130791296481458,0.505400901649373,1.0,0.06436991954783322,0.23866427780847943,1.0,0.037532082263791455,0.07677394517917642,1.0,real
karrierewege_cp_predictions_linear.pkl,1.9593872492887814,36.69627541365256,1.0,1.5248716929696764,16.45051102455019,0.9951443113703758,3.2806495519740473,4.966209675929413,0.9999735662028683,synthetic
karrierewege_occ_predictions_linear.pkl,2.079399186428864,35.595985715669,1.0,1.4759153593778294,16.678259122253362,0.9944692102836558,2.482695624110962,3.9149591037259093,0.9999989038881845,synthetic
karrierewege_predictions_linear.pkl,2.042599466753394,34.51422889798911,1.0,1.4666354286794074,20.696515764795365,0.9860124347548482,2.637155535956363,5.04886362967623,0.9999998066048552,real
