File,Data_Type,MRR,Recall@5,Recall@10
decorte_esco_predictions_linear.pkl,real,0.20839741557000147,0.281354051054384,0.341842397336293
decorte_predictions_linear.pkl,real,0.24273976886352036,0.341842397336293,0.41509433962264153
karrierewege_cp_predictions_linear.pkl,synthetic,0.4281875585009038,0.5277830291572748,0.6065222133352723
karrierewege_occ_predictions_linear.pkl,synthetic,0.4311564518678859,0.5340289391405512,0.6165709299789137
karrierewege_predictions_linear.pkl,real,0.4867398333018228,0.5713041707446065,0.6346601581734072
