File,Data_Type,within_group_accuracy,cross_group_error,within_cluster_accuracy,cross_cluster_error
decorte_esco_predictions_linear.pkl,real,0.43340732519422864,0.5665926748057714,0.6809100998890122,0.3190899001109878
decorte_predictions_linear.pkl,real,0.4450610432852386,0.5549389567147613,0.7547169811320755,0.24528301886792453
karrierewege_cp_predictions_linear.pkl,synthetic,0.5937540900167236,0.4061950119973824,0.588169853850069,0.41177924816403694
karrierewege_occ_predictions_linear.pkl,synthetic,0.5874936377517632,0.41247000654402677,0.5837271867956082,0.4162364575001818
karrierewege_predictions_linear.pkl,real,0.6227682777821681,0.3771830908858805,0.6204339738485013,0.3795173948195474
