File,Overall_MRR,Overall_Recall@5,Overall_Recall@10,Women_MRR,Women_Recall@5,Women_Recall@10,Migrant_MRR,Migrant_Recall@5,Migrant_Recall@10,Data_Type
decorte_esco_predictions_linear.pkl,0.20839741557000147,0.281354051054384,0.341842397336293,0.3929710464432687,0.44907407407407407,0.4861111111111111,0.11410675381263616,0.21568627450980393,0.3333333333333333,real
decorte_predictions_linear.pkl,0.24273976886352036,0.341842397336293,0.41509433962264153,0.4225180041152265,0.5462962962962963,0.6111111111111112,0.14304388422035483,0.2549019607843137,0.37254901960784315,real
karrierewege_cp_predictions_linear.pkl,0.4281875585009038,0.5277830291572748,0.6065222133352723,0.5172330789333331,0.6195463344418524,0.694296917655234,0.523043839531517,0.6492708311026404,0.7410540291667559,synthetic
karrierewege_occ_predictions_linear.pkl,0.4311564518678859,0.5340289391405512,0.6165709299789137,0.5100719434379587,0.6157740606541917,0.6989129895269767,0.5277210714396202,0.6720774353812878,0.7671370751868428,synthetic
karrierewege_predictions_linear.pkl,0.4867398333018228,0.5713041707446065,0.6346601581734072,0.5272943515386371,0.6366895330825404,0.6943239654790883,0.5410387110894725,0.6728402001011747,0.7443651284357259,real
